sog,stw,head,wspeedms,wspeedbf,wdir,drafta,draftf,trim,me_power
0.0018,0.000614633,0.9826,0.007673333,0.006666667,0.033752667,0.037646333,0.035724667,-0.0019214,4.481496667
0.1192,0.010448767,17.389473,0.169820667,0.13,1.425998333,0.637955,0.605829667,-0.032124867,132.5562803
0.4708,0.028887767,39.053083,1.091336667,0.596666667,16.89449067,1.768855333,1.675443333,-0.0934112,521.5740523
1.273133333,0.047326767,49.17695567,2.631683667,1.296666667,45.102739,2.916125667,2.727888,-0.1882384,1293.921082
2.445533333,0.065765767,58.84442833,4.184476,1.996666667,73.28778433,4.067059,3.753168333,-0.313893333,2305.202957
3.576466667,0.084204767,71.038902,5.749632,2.696666667,101.4499137,5.212378667,4.768842333,-0.4435394,3280.549844
4.691066667,0.102643767,82.18164133,7.327150333,3.396666667,129.5891037,6.361519667,5.782803,-0.578720133,4246.718781
5.856466667,0.121082767,91.70389733,8.920414333,4.096666667,157.4255637,7.511149667,6.793302,-0.7178508,5218.683574
7.008466667,0.139521767,103.5997347,10.531291,4.796666667,184.5623763,8.657885,7.807694667,-0.8501938,6208.779239
8.180266667,0.157960767,118.4131227,12.13481367,5.496666667,211.384888,9.806228333,8.827504,-0.9787288,7219.810989
9.327333333,0.175785133,132.176797,13.71035967,6.19,238.3080873,10.91927733,9.80692,-1.112361733,8180.351187
10.3008,0.18439,129.6600657,15.12562633,6.766666667,263.935237,11.468781,10.25546133,-1.213323933,8840.118088
10.96406667,0.18439,121.274263,15.77972033,7,275.5302237,11.48425733,10.216412,-1.2678496,9032.80306
11.24466667,0.18439,123.7790637,15.81317933,7,274.42932,11.486424,10.19563033,-1.290796067,9036.07071
11.36633333,0.18439,126.3480627,15.796721,7,273.3543617,11.50300867,10.19860567,-1.304403467,9157.715417
11.617,0.18439,126.4613907,15.72402767,7,272.2780803,11.53643933,10.21007,-1.3263694,9426.115415
11.85013333,0.18439,128.7786577,15.637969,7,271.1953687,11.55907767,10.221439,-1.337639,9699.972547
11.97253333,0.18439,134.701076,15.52971333,7,270.261011,11.569083,10.23404233,-1.335042667,9956.120012
12.07093333,0.18439,139.4311727,15.38292667,7,269.8572417,11.57488533,10.241817,-1.333069333,10176.02163
12.164,0.18439,140.9883843,15.23325533,7,269.704759,11.57866933,10.242118,-1.336550667,10347.60639
12.33606667,0.18439,141.6591123,15.09976167,7,269.369217,11.58034167,10.24285967,-1.337482333,10550.65361
12.61546667,0.18439,142.5639087,14.96759667,7,268.914491,11.582495,10.23689867,-1.345596667,10926.13462
13.0147,0.18439,143.9454197,14.826574,7,268.4132207,11.588377,10.21633533,-1.372042667,11501.25034
13.37266667,0.18439,146.1687093,14.67154467,7,267.921025,11.590821,10.19271533,-1.398107333,11882.43487
13.5,0.18439,149.9501573,14.54351,7,267.4147263,11.574238,10.173695,-1.400544,11833.90213
13.48053333,0.18439,154.536164,14.45353633,7,266.863066,11.54460967,10.16044367,-1.384166667,11536.24211
13.4314,0.18439,159.1157667,14.35875567,7,266.2702697,11.51714767,10.15309867,-1.364050333,11200.64265
13.42153333,0.18439,163.576964,14.27035967,6.993333333,265.9396343,11.50078667,10.14872567,-1.352061667,10883.12797
13.46006667,0.18439,167.628232,14.20137233,6.963333333,265.9695833,11.49360033,10.14417333,-1.349427333,10566.1422
13.4766,0.18439,172.0481067,14.13129833,6.89,266.0973157,11.48735367,10.14084833,-1.346505,10270.18543
13.43346667,0.18439,177.4621783,14.05139767,6.79,266.246346,11.48269167,10.14080267,-1.341886667,9983.12866
13.3406,0.18439,183.2812447,13.96202367,6.69,266.424107,11.47892833,10.143815,-1.335111333,9695.490308
13.19703333,0.18439,189.0029283,13.841388,6.59,266.683018,11.47347267,10.15015533,-1.323316,9422.32554
